,'Til There Was You (1997),9.0
756,"Island of Dr. Moreau, The (1996)",57.0
757,It Could Happen to You (1994),46.0
758,It Happened One Night (1934),81.0
759,It Takes Two (1995),3.0
760,It's My Party (1995),21.0
761,It's a Wonderful Life (1946),231.0
762,JLG/JLG - autoportrait de décembre (1994),1.0
763,Jack (1996),70.0
764,Jack and Sarah (1995),7.0
765,"Jackal, The (1997)",87.0
766,Jackie Brown (1997),126.0
767,Jackie Chan's First Strike (1996),145.0
768,Jade (1995),17.0
769,James and the Giant Peach (1996),126.0
770,Jane Eyre (1996),63.0
771,Jason's Lyric (1994),8.0
772,Jaws (1975),280.0
773,Jaws 2 (1978),66.0
774,Jaws 3-D (1983),16.0
775,Jean de Florette (1986),64.0
776,Jefferson in Paris (1995),5.0
777,Jeffrey (1995),34.0
778,"Jerky Boys, The (1994)",3.0
779,Jerry Maguire (1996),384.0
780,Jimmy Hollywood (1994),8.0
781,Jingle All the Way (1996),18.0
782,Joe's Apartment (1996),45.0
783,Johnny 100 Pesos (1993),2.0
784,Johnny Mnemonic (1995),41.0
785,Johns (1996),1.0
786,"Journey of August King, The (1995)",4.0
787,"Joy Luck Club, The (1993)",3.0
788,Jude (1996),23.0
789,Judge Dredd (1995),39.0
790,Judgment Night (1993),25.0
791,Jumanji (1995),96.0
792,"Jungle Book, The (1994)",85.0
793,Jungle2Jungle (1997),132.0
794,Junior (1994),45.0
795,Jupiter's Wife (1994),1.0
796,Jurassic Park (1993),261.0
797,"Juror, The (1996)",82.0
798,Jury Duty (1995),14.0
799,Just Cause (1995),28.0
800,Kalifornia (1993),59.0
801,Kama Sutra: A Tale of Love (1996),22.0
802,Kansas City (1996),23.0
803,Kaspar Hauser (1993),8.0
804,Kazaam (1996),10.0
805,Keys to Tulsa (1997),25.0
806,Kicked in the Head (1997),7.0
807,Kicking and Screaming (1995),13.0
808,"Kid in King Arthur's Court, A (1995)",22.0
809,Kids (1995),49.0
810,Kids in the Hall: Brain Candy (1996),65.0
811,Kika (1993),2.0
812,Killer (Bulletproof Heart) (1994),4.0
813,Killer: A Journal of Murder (1995),1.0
814,"Killing Fields, The (1984)",121.0
815,Killing Zoe (1994),40.0
816,Kim (1950),7.0
817,King of New York (1990),1.0
818,King of the Hill (1993),4.0
819,Kingpin (1996),162.0
820,"Kiss Me, Guido (1997)",31.0
821,Kiss of Death (1995),20.0
822,Kiss the Girls (1997),143.0
823,Kissed (1996),6.0
824,Kolya (1996),117.0
825,Koyaanisqatsi (1983),53.0
826,Kull the Conqueror (1997),69.0
827,Kundun (1997),42.0
828,L.A. Confidential (1997),297.0
829,Lady of Burlesque (1943),1.0
830,Ladybird Ladybird (1994),4.0
831,Lamerica (1994),4.0
832,Land Before Time III: The Time of the Great Giving (1995) (V),6.0
833,Land and Freedom (Tierra y libertad) (1995),1.0
834,Larger Than Life (1996),9.0
835,Lashou shentan (1992),1.0
836,Lassie (1994),7.0
837,Last Action Hero (1993),59.0
838,Last Dance (1996),9.0
839,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",4.0
840,Last Man Standing (1996),53.0
841,Last Summer in the Hamptons (1995),3.0
842,"Last Supper, The (1995)",58.0
843,"Last Time I Committed Suicide, The (1997)",7.0
844,"Last Time I Saw Paris, The (1954)",3.0
845,"Last of the Mohicans, The (1992)",128.0
846,Late Bloomers (1996),5.0
847,Laura (1944),40.0
848,Lawnmower Man 2: Beyond Cyberspace (1996),21.0
849,"Lawnmower Man, The (1992)",65.0
850,Lawrence of Arabia (1962),173.0
851,"Lay of the Land, The (1997)",4.0
852,"Leading Man, The (1996)",4.0
853,Leave It to Beaver (1997),44.0
854,Leaving Las Vegas (1995),298.0
855,Legal Deceit (1997),5.0
856,Legends of the Fall (1994),81.0
857,"Leopard Son, The (1996)",1.0
858,"Letter From Death Row, A (1998)",3.0
859,Liar Liar (1997),485.0
860,Liebelei (1933),1.0
861,"Life Less Ordinary, A (1997)",53.0
862,Life with Mikey (1993),7.0
863,Lightning Jack (1994),10.0
864,Like Water For Chocolate (Como agua para chocolate) (1992),148.0
865,"Line King: Al Hirschfeld, The (1996)",2.0
866,"Lion King, The (1994)",220.0
867,Little Big League (1994),16.0
868,Little Buddha (1993),22.0
869,Little City (1998),2.0
870,Little Lord Fauntleroy (1936),12.0
871,Little Odessa (1994),10.0
872,"Little Princess, A (1995)",41.0
873,"Little Princess, The (1939)",9.0
874,"Little Rascals, The (1994)",18.0
875,Little Women (1994),102.0
876,Live Nude Girls (1995),23.0
877,Living in Oblivion (1995),27.0
878,Loaded (1994),5.0
879,Local Hero (1983),63.0
880,Loch Ness (1995),4.0
881,"Locusts, The (1997)",5.0
882,Lone Star (1996),187.0
883,"Long Kiss Goodnight, The (1996)",185.0
884,Looking for Richard (1996),55.0
885,Lord of Illusions (1995),24.0
886,Losing Chase (1996),8.0
887,Losing Isaiah (1995),12.0
888,Lost Highway (1997),125.0
889,Lost Horizon (1937),34.0
890,"Lost World: Jurassic Park, The (1997)",158.0
891,Lost in Space (1998),18.0
892,Lotto Land (1995),1.0
893,Love & Human Remains (1993),12.0
894,Love Affair (1994),12.0
895,"Love Bug, The (1969)",50.0
896,Love Is All There Is (1996),1.0
897,Love Jones (1997),42.0
898,Love Serenade (1996),4.0
899,Love and Death on Long Island (1997),2.0
900,Love and Other Catastrophes (1996),7.0
901,Love and a .45 (1994),8.0
902,Love in the Afternoon (1957),10.0
903,Love! Valour! Compassion! (1997),26.0
904,Lover's Knot (1996),3.0
905,"Low Down Dirty Shame, A (1994)",10.0
906,"Low Life, The (1994)",1.0
907,M (1931),44.0
908,M*A*S*H (1970),206.0
909,M. Butterfly (1993),18.0
910,MURDER and murder (1996),1.0
911,Ma vie en rose (My Life in Pink) (1997),20.0
912,"Machine, The (1994)",2.0
913,Mad City (1997),47.0
914,Mad Dog Time (1996),1.0
915,Mad Love (1995),13.0
916,Madame Butterfly (1995),7.0
917,Made in America (1993),27.0
918,"Madness of King George, The (1994)",91.0
919,Madonna: Truth or Dare (1991),17.0
920,"Magic Hour, The (1998)",5.0
921,"Magnificent Seven, The (1954)",121.0
922,Major Payne (1994),19.0
923,Malice (1993),46.0
924,Mallrats (1995),54.0
925,"Maltese Falcon, The (1941)",138.0
926,Mamma Roma (1962),1.0
927,"Man Who Knew Too Little, The (1997)",52.0
928,"Man Who Would Be King, The (1975)",80.0
929,"Man Without a Face, The (1993)",68.0
930,"Man from Down Under, The (1943)",1.0
931,"Man in the Iron Mask, The (1998)",12.0
932,"Man of No Importance, A (1994)",7.0
933,Man of the House (1995),9.0
934,Man of the Year (1995),9.0
935,"Manchurian Candidate, The (1962)",131.0
936,Manhattan (1979),91.0
937,Manhattan Murder Mystery (1993),27.0
938,Manny & Lo (1996),13.0
939,Manon of the Spring (Manon des sources) (1986),58.0
940,Margaret's Museum (1995),6.0
941,"Mark of Zorro, The (1940)",13.0
942,Marked for Death (1990),22.0
943,Marlene Dietrich: Shadow and Light (1996) ,1.0
944,Mars Attacks! (1996),217.0
945,Marvin's Room (1996),78.0
946,Mary Poppins (1964),178.0
947,Mary Reilly (1996),39.0
948,Mary Shelley's Frankenstein (1994),59.0
949,"Mask, The (1994)",129.0
950,Mat' i syn (1997),1.0
951,"MatchMaker, The (1997)",51.0
952,Matilda (1996),95.0
953,Maverick (1994),128.0
954,Maximum Risk (1996),20.0
955,Maya Lin: A Strong Clear Vision (1994),4.0
956,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",8.0
957,McHale's Navy (1997),69.0
958,Mediterraneo (1991),34.0
959,Meet John Doe (1941),25.0
960,Meet Me in St. Louis (1944),31.0
961,Meet Wally Sparks (1997),7.0
962,Men With Guns (1997),2.0
963,Men in Black (1997),303.0
964,Men of Means (1998),2.0
965,Menace II Society (1993),50.0
966,Mercury Rising (1998),7.0
967,Metisse (Café au Lait) (1993),6.0
968,Metro (1997),36.0
969,Miami Rhapsody (1995),15.0
970,Michael (1996),119.0
971,Michael Collins (1996),92.0
972,Microcosmos: Le peuple de l'herbe (1996),24.0
973,Midnight Dancers (Sibak) (1994),5.0
974,Midnight in the Garden of Good and Evil (1997),80.0
975,Mighty Aphrodite (1995),184.0
976,Mighty Morphin Power Rangers: The Movie (1995),11.0
977,"Mighty, The (1998)",3.0
978,Milk Money (1994),37.0
979,Mille bolle blu (1993),1.0
980,Miller's Crossing (1990),89.0
981,Mimic (1997),101.0
982,Mina Tannenbaum (1994),6.0
983,Miracle on 34th Street (1994),101.0
984,Mirage (1995),1.0
985,"Mirror Has Two Faces, The (1996)",66.0
986,Mission: Impossible (1996),344.0
987,"Misérables, Les (1995)",21.0
988,Mixed Nuts (1994),15.0
989,"Modern Affair, A (1995)",1.0
990,Moll Flanders (1996),42.0
991,Mondo (1996),3.0
992,Money Talks (1997),92.0
993,Money Train (1995),43.0
994,"Month by the Lake, A (1995)",9.0
995,Monty Python and the Holy Grail (1974),316.0
996,Monty Python's Life of Brian (1979),174.0
997,Moonlight and Valentino (1995),7.0
998,Mortal Kombat (1995),49.0
999,Mortal Kombat: Annihilation (1997),43.0
1000,"Mostro, Il (1994)",1.0
1001,Mother (1996),169.0
1002,Mother Night (1996),22.0
1003,Mouse Hunt (1997),44.0
1004,Mr. Holland's Opus (1995),293.0
1005,Mr. Jones (1993),2.0
1006,Mr. Magoo (1997),12.0
1007,Mr. Smith Goes to Washington (1939),105.0
1008,Mr. Wonderful (1993),4.0
1009,Mr. Wrong (1996),23.0
1010,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",96.0
1011,Mrs. Dalloway (1997),15.0
1012,Mrs. Doubtfire (1993),192.0
1013,Mrs. Parker and the Vicious Circle (1994),22.0
1014,Mrs. Winterbourne (1996),22.0
1015,Much Ado About Nothing (1993),176.0
1016,Mulholland Falls (1996),82.0
1017,Multiplicity (1996),134.0
1018,Muppet Treasure Island (1996),84.0
1019,Murder at 1600 (1997),218.0
1020,Murder in the First (1995),60.0
1021,"Murder, My Sweet (1944)",9.0
1022,Muriel's Wedding (1994),100.0
1023,Mute Witness (1994),17.0
1024,My Best Friend's Wedding (1997),172.0
1025,My Crazy Life (Mi vida loca) (1993),11.0
1026,My Fair Lady (1964),125.0
1027,My Family (1995),21.0
1028,My Favorite Season (1993),3.0
1029,My Favorite Year (1982),62.0
1030,My Fellow Americans (1996),86.0
1031,My Left Foot (1989),121.0
1032,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2.0
1033,My Life as a Dog (Mitt liv som hund) (1985),93.0
1034,My Man Godfrey (1936),27.0
1035,My Own Private Idaho (1991),30.0
1036,Mystery Science Theater 3000: The Movie (1996),130.0
1037,Nadja (1994),8.0
1038,Naked (1993),25.0
1039,Naked Gun 33 1/3: The Final Insult (1994),69.0
1040,Naked in New York (1994),2.0
1041,National Lampoon's Senior Trip (1995),7.0
1042,Natural Born Killers (1994),128.0
1043,Nell (1994),81.0
1044,Nelly & Monsieur Arnaud (1995),3.0
1045,Nemesis 2: Nebula (1995),1.0
1046,"Neon Bible, The (1995)",4.0
1047,"Net, The (1995)",120.0
1048,"NeverEnding Story III, The (1994)",12.0
1049,"New Age, The (1994)",1.0
1050,New Jersey Drive (1995),2.0
1051,New York Cop (1996),2.0
1052,"Newton Boys, The (1998)",4.0
1053,"Next Karate Kid, The (1994)",9.0
1054,"Next Step, The (1995)",1.0
1055,"Niagara, Niagara (1997)",1.0
1056,Nick of Time (1995),44.0
1057,Nico Icon (1995),2.0
1058,Night Falls on Manhattan (1997),32.0
1059,Night Flier (1997),7.0
1060,Night of the Living Dead (1968),64.0
1061,Night on Earth (1991),36.0
1062,"Nightmare Before Christmas, The (1993)",143.0
1063,"Nightmare on Elm Street, A (1984)",111.0
1064,Nightwatch (1997),3.0
1065,Nikita (La Femme Nikita) (1990),127.0
1066,Nil By Mouth (1997),4.0
1067,Nina Takes a Lover (1994),6.0
1068,Nine Months (1995),58.0
1069,Ninotchka (1939),26.0
1070,Nixon (1995),90.0
1071,No Escape (1994),5.0
1072,Nobody Loves Me (Keiner liebt mich) (1994),1.0
1073,Nobody's Fool (1994),46.0
1074,Normal Life (1996),1.0
1075,North (1994),7.0
1076,North by Northwest (1959),179.0
1077,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",54.0
1078,Nosferatu a Venezia (1986),3.0
1079,Nothing Personal (1995),1.0
1080,Nothing to Lose (1994),7.0
1081,Notorious (1946),52.0
1082,Now and Then (1995),24.0
1083,Nowhere (1997),3.0
1084,"Nutty Professor, The (1996)",163.0
1085,Nénette et Boni (1996),6.0
1086,"Object of My Affection, The (1998)",1.0
1087,Of Human Bondage (1934),5.0
1088,Of Love and Shadows (1994),6.0
1089,Office Killer (1997),1.0
1090,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",5.0
1091,"Old Man and the Sea, The (1958)",32.0
1092,Old Yeller (1957),64.0
1093,Oliver & Company (1988),22.0
1094,"Omen, The (1976)",85.0
1095,On Golden Pond (1981),106.0
1096,Once Upon a Time in America (1984),50.0
1097,Once Upon a Time in the West (1969),38.0
1098,Once Upon a Time... When We Were Colored (1995),28.0
1099,Once Were Warriors (1994),31.0
1100,One Fine Day (1996),112.0
1101,One Flew Over the Cuckoo's Nest (1975),264.0
1102,One Night Stand (1997),15.0
1103,Only You (1994),39.0
1104,Open Season (1996),2.0
1105,Operation Dumbo Drop (1995),31.0
1106,Original Gangstas (1996),7.0
1107,Orlando (1993),34.0
1108,Oscar & Lucinda (1997),21.0
1109,Othello (1995),72.0
1110,"Other Voices, Other Rooms (1997)",1.0
1111,Out to Sea (1997),19.0
1112,Outbreak (1995),104.0
1113,"Outlaw, The (1943)",2.0
1114,"Pagemaster, The (1994)",12.0
1115,"Pallbearer, The (1996)",22.0
1116,Palmetto (1998),14.0
1117,Palookaville (1996),13.0
1118,Panther (1995),5.0
1119,"Paper, The (1994)",40.0
1120,Paradise Lost: The Child Murders at Robin Hood Hills (1996),20.0
1121,Paradise Road (1997),7.0
1122,"Parent Trap, The (1961)",73.0
1123,Paris Is Burning (1990),27.0
1124,Paris Was a Woman (1995),1.0
1125,"Paris, France (1993)",3.0
1126,"Paris, Texas (1984)",46.0
1127,Party Girl (1995),16.0
1128,Passion Fish (1992),28.0
1129,Pather Panchali (1955),8.0
1130,Paths of Glory (1957),33.0
1131,Patton (1970),136.0
1132,"Peacemaker, The (1997)",136.0
1133,Penny Serenade (1941),8.0
1134,"People vs. Larry Flynt, The (1996)",215.0
1135,"Perez Family, The (1995)",14.0
1136,"Perfect Candidate, A (1996)",4.0
1137,"Perfect World, A (1993)",50.0
1138,Persuasion (1995),44.0
1139,"Pest, The (1997)",8.0
1140,Pete's Dragon (1977),43.0
1141,"Phantom, The (1996)",80.0
1142,Phantoms (1998),13.0
1143,Pharaoh's Army (1995),1.0
1144,Phat Beach (1996),5.0
1145,Phenomenon (1996),244.0
1146,Philadelphia (1993),137.0
1147,"Philadelphia Story, The (1940)",104.0
1148,"Piano, The (1993)",168.0
1149,Picnic (1955),18.0
1150,Picture Bride (1995),10.0
1151,Picture Perfect (1997),81.0
1152,Pie in the Sky (1995),4.0
1153,"Pillow Book, The (1995)",26.0
1154,Pink Floyd - The Wall (1982),114.0
1155,Pinocchio (1940),101.0
1156,Platoon (1986),127.0
1157,Playing God (1997),43.0
1158,Pocahontas (1995),51.0
1159,Poetic Justice (1993),9.0
1160,Poison Ivy II (1995),13.0
1161,Police Story 4: Project S (Chao ji ji hua) (1993),1.0
1162,Pollyanna (1960),27.0
1163,"Pompatus of Love, The (1996)",7.0
1164,Ponette (1996),10.0
1165,"Portrait of a Lady, The (1996)",25.0
1166,"Postino, Il (1994)",183.0
1167,"Postman, The (1997)",58.0
1168,Powder (1995),48.0
1169,Power 98 (1995),1.0
1170,"Preacher's Wife, The (1996)",68.0
1171,Prefontaine (1997),3.0
1172,Pretty Woman (1990),164.0
1173,"Price Above Rubies, A (1998)",3.0
1174,Priest (1994),40.0
1175,Primal Fear (1996),178.0
1176,Primary Colors (1998),13.0
1177,"Princess Bride, The (1987)",324.0
1178,Princess Caraboo (1994),15.0
1179,Prisoner of the Mountains (Kavkazsky Plennik) (1996),5.0
1180,Private Benjamin (1980),67.0
1181,Private Parts (1997),100.0
1182,"Professional, The (1994)",149.0
1183,"Program, The (1993)",31.0
1184,"Promesse, La (1996)",6.0
1185,"Promise, The (Versprechen, Das) (1994)",1.0
1186,"Prophecy II, The (1998)",20.0
1187,"Prophecy, The (1995)",32.0
1188,Psycho (1960),239.0
1189,Pulp Fiction (1994),394.0
1190,Pump Up the Volume (1990),79.0
1191,Purple Noon (1960),7.0
1192,Pushing Hands (1992),2.0
1193,"Pyromaniac's Love Story, A (1995)",7.0
1194,Quartier Mozart (1992),1.0
1195,"Queen Margot (Reine Margot, La) (1994)",24.0
1196,"Quest, The (1996)",27.0
1197,"Quick and the Dead, The (1995)",48.0
1198,"Quiet Man, The (1952)",67.0
1199,"Quiet Room, The (1996)",3.0
1200,Quiz Show (1994),175.0
1201,Race the Sun (1996),5.0
1202,Radioland Murders (1994),12.0
1203,Raging Bull (1980),116.0
1204,Raiders of the Lost Ark (1981),420.0
1205,"Rainmaker, The (1997)",145.0
1206,Raise the Red Lantern (1991),58.0
1207,Raising Arizona (1987),256.0
1208,Ran (1985),70.0
1209,Ransom (1996),267.0
1210,Raw Deal (1948),1.0
1211,Ready to Wear (Pret-A-Porter) (1994),18.0
1212,Real Genius (1985),119.0
1213,Reality Bites (1994),77.0
1214,Rear Window (1954),209.0
1215,Rebecca (1940),66.0
1216,Rebel Without a Cause (1955),90.0
1217,Reckless (1995),8.0
1218,Red Corner (1997),57.0
1219,"Red Firecracker, Green Firecracker (1994)",13.0
1220,Red Rock West (1992),52.0
1221,"Ref, The (1994)",58.0
1222,Relative Fear (1994),3.0
1223,"Relic, The (1997)",25.0
1224,"Reluctant Debutante, The (1958)",1.0
1225,"Remains of the Day, The (1993)",150.0
1226,Renaissance Man (1994),43.0
1227,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",3.0
1228,Rent-a-Kid (1995),8.0
1229,"Replacement Killers, The (1998)",39.0
1230,Reservoir Dogs (1992),148.0
1231,Restoration (1995),71.0
1232,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",44.0
1233,Return of the Jedi (1983),507.0
1234,"Return of the Pink Panther, The (1974)",92.0
1235,Rhyme & Reason (1997),5.0
1236,"Rich Man's Wife, The (1996)",15.0
1237,Richard III (1995),89.0
1238,Richie Rich (1994),21.0
1239,Ridicule (1996),44.0
1240,"Right Stuff, The (1983)",157.0
1241,Ripe (1996),1.0
1242,Rising Sun (1993),43.0
1243,"River Wild, The (1994)",146.0
1244,"Road to Wellville, The (1994)",17.0
1245,Rob Roy (1995),92.0
1246,Robert A. Heinlein's The Puppet Masters (1994),18.0
1247,Robin Hood: Men in Tights (1993),56.0
1248,Robin Hood: Prince of Thieves (1991),75.0
1249,Robocop 3 (1993),11.0
1250,"Rock, The (1996)",378.0
1251,Rocket Man (1997),49.0
1252,Roman Holiday (1953),68.0
1253,Romeo Is Bleeding (1993),37.0
1254,Romper Stomper (1992),5.0
1255,Romy and Michele's High School Reunion (1997),98.0
1256,"Room with a View, A (1986)",134.0
1257,Roommates (1995),13.0
1258,Roseanna's Grave (For Roseanna) (1997),5.0
1259,Rosencrantz and Guildenstern Are Dead (1990),90.0
1260,Rosewood (1997),114.0
1261,Rough Magic (1995),2.0
1262,Ruby in Paradise (1993),23.0
1263,Rudy (1993),64.0
1264,"Ruling Class, The (1972)",16.0
1265,Rumble in the Bronx (1995),174.0
1266,"Run of the Country, The (1995)",4.0
1267,S.F.W. (1994),2.0
1268,Sabrina (1954),64.0
1269,Sabrina (1995),190.0
1270,Safe (1995),13.0
1271,Safe Passage (1994),2.0
1272,"Saint of Fort Washington, The (1993)",2.0
1273,"Saint, The (1997)",316.0
1274,Salut cousin! (1996),2.0
1275,"Santa Clause, The (1994)",82.0
1276,Santa with Muscles (1996),2.0
1277,"Savage Nights (Nuits fauves, Les) (1992)",3.0
1278,"Scarlet Letter, The (1926)",2.0
1279,"Scarlet Letter, The (1995)",5.0
1280,Schindler's List (1993),298.0
1281,Schizopolis (1996),4.0
1282,"Scout, The (1994)",12.0
1283,Scream (1996),478.0
1284,Scream 2 (1997),106.0
1285,Scream of Stone (Schrei aus Stein) (1991),1.0
1286,Screamers (1995),46.0
1287,"Search for One-eye Jimmy, The (1996)",3.0
1288,Searching for Bobby Fischer (1993),138.0
1289,"Second Jungle Book: Mowgli & Baloo, The (1997)",6.0
1290,"Secret Adventures of Tom Thumb, The (1993)",5.0
1291,"Secret Agent, The (1996)",6.0
1292,"Secret Garden, The (1993)",79.0
1293,"Secret of Roan Inish, The (1994)",71.0
1294,Secrets & Lies (1996),162.0
1295,Selena (1997),16.0
1296,Sense and Sensibility (1995),268.0
1297,Senseless (1998),7.0
1298,Serial Mom (1994),54.0
1299,Set It Off (1996),19.0
1300,Seven (Se7en) (1995),236.0
1301,Seven Years in Tibet (1997),155.0
1302,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",72.0
1303,"Sex, Lies, and Videotape (1989)",101.0
1304,"Sexual Life of the Belgians, The (1994)",2.0
1305,Sgt. Bilko (1996),74.0
1306,Shadow Conspiracy (1997),44.0
1307,Shadow of Angels (Schatten der Engel) (1976),1.0
1308,"Shadow, The (1994)",45.0
1309,Shadowlands (1993),78.0
1310,Shadows (Cienie) (1988),1.0
1311,"Shaggy Dog, The (1959)",30.0
1312,Shall We Dance? (1937),17.0
1313,Shall We Dance? (1996),46.0
1314,Shallow Grave (1994),66.0
1315,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),26.0
1316,"Shawshank Redemption, The (1994)",283.0
1317,She's So Lovely (1997),53.0
1318,She's the One (1996),73.0
1319,Shiloh (1997),12.0
1320,Shine (1996),129.0
1321,"Shining, The (1980)",206.0
1322,"Shooter, The (1995)",3.0
1323,Shooting Fish (1997),10.0
1324,Shopping (1994),1.0
1325,Short Cuts (1993),67.0
1326,"Show, The (1995)",2.0
1327,Showgirls (1995),23.0
1328,"Silence of the Lambs, The (1991)",390.0
1329,"Silence of the Palace, The (Saimt el Qusur) (1994)",1.0
1330,"Simple Twist of Fate, A (1994)",10.0
1331,"Simple Wish, A (1997)",3.0
1332,Singin' in the Rain (1952),137.0
1333,Sirens (1994),59.0
1334,Six Degrees of Separation (1993),74.0
1335,"Sixth Man, The (1997)",9.0
1336,Sleeper (1973),82.0
1337,Sleepers (1996),169.0
1338,Sleepless in Seattle (1993),213.0
1339,Sleepover (1995),1.0
1340,Sliding Doors (1998),5.0
1341,Sling Blade (1996),136.0
1342,"Slingshot, The (1993)",2.0
1343,Sliver (1993),37.0
1344,Small Faces (1995),1.0
1345,"Smile Like Yours, A (1997)",25.0
1346,Smilla's Sense of Snow (1997),48.0
1347,Smoke (1995),74.0
1348,Sneakers (1992),150.0
1349,Snow White and the Seven Dwarfs (1937),172.0
1350,So Dear to My Heart (1949),4.0
1351,So I Married an Axe Murderer (1993),95.0
1352,Solo (1996),12.0
1353,Some Folks Call It a Sling Blade (1993),41.0
1354,Some Kind of Wonderful (1987),59.0
1355,Some Like It Hot (1959),128.0
1356,Some Mother's Son (1996),2.0
1357,Somebody to Love (1994),2.0
1358,Someone Else's America (1995),1.0
1359,Something to Talk About (1995),26.0
1360,Somewhere in Time (1980),82.0
1361,Son in Law (1993),39.0
1362,Sophie's Choice (1982),58.0
1363,Soul Food (1997),59.0
1364,"Sound of Music, The (1965)",222.0
1365,Space Jam (1996),93.0
1366,"Spanish Prisoner, The (1997)",1.0
1367,Spanking the Monkey (1994),27.0
1368,Spawn (1997),143.0
1369,"Specialist, The (1994)",20.0
1370,Species (1995),45.0
1371,Speechless (1994),36.0
1372,Speed (1994),230.0
1373,Speed 2: Cruise Control (1997),38.0
1374,Spellbound (1945),30.0
1375,Sphere (1998),41.0
1376,Spice World (1997),26.0
1377,Spirits of the Dead (Tre passi nel delirio) (1968),2.0
1378,"Spitfire Grill, The (1996)",97.0
1379,Sprung (1997),3.0
1380,Spy Hard (1996),43.0
1381,Squeeze (1996),3.0
1382,Stag (1997),9.0
1383,Stalingrad (1993),12.0
1384,Stalker (1979),11.0
1385,Stand by Me (1986),227.0
1386,Star Kid (1997),3.0
1387,"Star Maker, The (Uomo delle stelle, L') (1995)",12.0
1388,Star Maps (1997),19.0
1389,Star Trek III: The Search for Spock (1984),171.0
1390,Star Trek IV: The Voyage Home (1986),199.0
1391,Star Trek V: The Final Frontier (1989),63.0
1392,Star Trek VI: The Undiscovered Country (1991),161.0
1393,Star Trek: First Contact (1996),365.0
1394,Star Trek: Generations (1994),116.0
1395,Star Trek: The Motion Picture (1979),117.0
1396,Star Trek: The Wrath of Khan (1982),244.0
1397,Star Wars (1977),584.0
1398,Stargate (1994),127.0
1399,"Stars Fell on Henrietta, The (1995)",3.0
1400,Starship Troopers (1997),211.0
1401,"Steal Big, Steal Little (1995)",7.0
1402,Stealing Beauty (1996),64.0
1403,Steel (1997),19.0
1404,Stefano Quantestorie (1993),1.0
1405,Stephen King's The Langoliers (1995),29.0
1406,"Sting, The (1973)",241.0
1407,Stonewall (1995),5.0
1408,"Story of Xinghua, The (1993)",5.0
1409,Strange Days (1995),87.0
1410,Stranger in the House (1997),7.0
1411,"Stranger, The (1994)",3.0
1412,Strawberry and Chocolate (Fresa y chocolate) (1993),11.0
1413,Street Fighter (1994),8.0
1414,"Streetcar Named Desire, A (1951)",98.0
1415,Strictly Ballroom (1992),104.0
1416,Striking Distance (1993),12.0
1417,Stripes (1981),5.0
1418,Striptease (1996),67.0
1419,Stuart Saves His Family (1995),16.0
1420,"Stupids, The (1996)",17.0
1421,SubUrbia (1997),12.0
1422,"Substance of Fire, The (1996)",4.0
1423,"Substitute, The (1996)",49.0
1424,Sudden Death (1995),47.0
1425,Sudden Manhattan (1996),2.0
1426,"Sum of Us, The (1994)",11.0
1427,"Sunchaser, The (1996)",1.0
1428,Sunset Blvd. (1950),65.0
1429,Sunset Park (1996),8.0
1430,Super Mario Bros. (1993),26.0
1431,Supercop (1992),65.0
1432,Surviving Picasso (1996),19.0
1433,Surviving the Game (1994),11.0
1434,Suture (1993),4.0
1435,"Swan Princess, The (1994)",7.0
1436,"Sweet Hereafter, The (1997)",44.0
1437,Sweet Nothing (1995),1.0
1438,Swept from the Sea (1997),7.0
1439,Swimming with Sharks (1995),47.0
1440,Swingers (1996),157.0
1441,Swiss Family Robinson (1960),39.0
1442,Switchback (1997),17.0
1443,Switchblade Sisters (1975),13.0
1444,"Sword in the Stone, The (1963)",82.0
1445,"Symphonie pastorale, La (1946)",1.0
1446,T-Men (1947),1.0
1447,Tainted (1998),1.0
1448,Tales From the Crypt Presents: Demon Knight (1995),43.0
1449,Tales from the Crypt Presents: Bordello of Blood (1996),55.0
1450,Tales from the Hood (1995),27.0
1451,Talking About Sex (1994),5.0
1452,"Tango Lesson, The (1997)",13.0
1453,Tank Girl (1995),41.0
1454,Target (1995),1.0
1455,Taxi Driver (1976),182.0
1456,Telling Lies in America (1997),13.0
1457,Temptress Moon (Feng Yue) (1996),3.0
1458,Terminal Velocity (1994),34.0
1459,Terminator 2: Judgment Day (1991),295.0
1460,"Terminator, The (1984)",301.0
1461,Terror in a Texas Town (1958),1.0
1462,Tetsuo II: Body Hammer (1992),6.0
1463,That Darn Cat! (1965),19.0
1464,That Darn Cat! (1997),41.0
1465,That Old Feeling (1997),11.0
1466,That Thing You Do! (1996),176.0
1467,The Courtyard (1995),1.0
1468,The Deadly Cure (1996),2.0
1469,The Innocent (1994),4.0
1470,Theodore Rex (1995),5.0
1471,They Made Me a Criminal (1939),1.0
