,a,b,c,d
374,Dangerous Ground (1997),1.75,Dangerous Ground (1997),8.0
375,Dangerous Minds (1995),3.3404255319148937,Dangerous Minds (1995),47.0
376,Daniel Defoe's Robinson Crusoe (1996),3.0,Daniel Defoe's Robinson Crusoe (1996),2.0
377,Dante's Peak (1997),2.933333333333333,Dante's Peak (1997),240.0
378,Dark City (1998),3.5,Dark City (1998),16.0
379,Dave (1993),3.65,Dave (1993),180.0
380,"Davy Crockett, King of the Wild Frontier (1955)",2.9090909090909087,"Davy Crockett, King of the Wild Frontier (1955)",11.0
381,"Day the Earth Stood Still, The (1951)",3.938144329896907,"Day the Earth Stood Still, The (1951)",97.0
382,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0
383,Daylight (1996),2.771929824561404,Daylight (1996),57.0
384,Days of Thunder (1990),2.7169811320754715,Days of Thunder (1990),53.0
385,"Daytrippers, The (1996)",3.6666666666666665,"Daytrippers, The (1996)",15.0
386,Dazed and Confused (1993),3.46875,Dazed and Confused (1993),64.0
387,Dead Man (1995),3.8235294117647056,Dead Man (1995),34.0
388,Dead Man Walking (1995),3.8963210702341136,Dead Man Walking (1995),299.0
389,Dead Poets Society (1989),3.9163346613545817,Dead Poets Society (1989),251.0
390,Dead Presidents (1995),2.7222222222222223,Dead Presidents (1995),18.0
391,Dear God (1996),2.5,Dear God (1996),12.0
392,Death and the Maiden (1994),3.4285714285714284,Death and the Maiden (1994),28.0
393,Death in Brunswick (1991),4.0,Death in Brunswick (1991),1.0
394,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0
395,Deceiver (1997),2.827586206896552,Deceiver (1997),29.0
396,Deconstructing Harry (1997),3.4,Deconstructing Harry (1997),65.0
397,Deep Rising (1998),2.4285714285714284,Deep Rising (1998),14.0
398,"Deer Hunter, The (1978)",3.8333333333333335,"Deer Hunter, The (1978)",120.0
399,Delicatessen (1991),3.8769230769230765,Delicatessen (1991),65.0
400,Delta of Venus (1994),3.0,Delta of Venus (1994),2.0
401,Demolition Man (1993),3.152173913043478,Demolition Man (1993),92.0
402,Denise Calls Up (1995),3.0,Denise Calls Up (1995),7.0
403,Desert Winds (1995),4.0,Desert Winds (1995),1.0
404,"Designated Mourner, The (1997)",1.8571428571428568,"Designated Mourner, The (1997)",7.0
405,Desperado (1995),3.453608247422681,Desperado (1995),97.0
406,Desperate Measures (1998),3.3194444444444446,Desperate Measures (1998),72.0
407,Destiny Turns on the Radio (1995),3.0,Destiny Turns on the Radio (1995),2.0
408,Devil in a Blue Dress (1995),3.3859649122807016,Devil in a Blue Dress (1995),57.0
409,"Devil's Advocate, The (1997)",3.515957446808511,"Devil's Advocate, The (1997)",188.0
410,"Devil's Own, The (1997)",3.1083333333333334,"Devil's Own, The (1997)",240.0
411,Diabolique (1996),2.8873239436619715,Diabolique (1996),71.0
412,Dial M for Murder (1954),4.0,Dial M for Murder (1954),68.0
413,Die Hard (1988),3.872427983539095,Die Hard (1988),243.0
414,Die Hard 2 (1990),3.3554216867469884,Die Hard 2 (1990),166.0
415,Die Hard: With a Vengeance (1995),3.2847682119205297,Die Hard: With a Vengeance (1995),151.0
416,"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871,"Die xue shuang xiong (Killer, The) (1989)",31.0
417,Dingo (1992),2.4,Dingo (1992),5.0
418,Dirty Dancing (1987),3.1020408163265305,Dirty Dancing (1987),98.0
419,Disclosure (1994),3.0,Disclosure (1994),40.0
420,Diva (1981),3.727272727272727,Diva (1981),66.0
421,Dolores Claiborne (1994),3.3417721518987342,Dolores Claiborne (1994),79.0
422,Don Juan DeMarco (1995),3.5526315789473686,Don Juan DeMarco (1995),76.0
423,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.771428571428572,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),35.0
424,Donnie Brasco (1997),3.8027210884353733,Donnie Brasco (1997),147.0
425,"Doom Generation, The (1995)",2.7142857142857144,"Doom Generation, The (1995)",7.0
426,"Doors, The (1991)",2.9782608695652173,"Doors, The (1991)",46.0
427,Double Happiness (1994),3.4285714285714284,Double Happiness (1994),7.0
428,Double Team (1997),2.230769230769231,Double Team (1997),13.0
429,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",22.0
430,Down Periscope (1996),2.702970297029703,Down Periscope (1996),101.0
431,Down by Law (1986),3.7714285714285714,Down by Law (1986),35.0
432,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),194.0
433,Dracula: Dead and Loving It (1995),2.28,Dracula: Dead and Loving It (1995),25.0
434,Dragonheart (1996),3.0822784810126582,Dragonheart (1996),158.0
435,Dream Man (1995),1.5,Dream Man (1995),2.0
436,Dream With the Fishes (1997),3.1428571428571432,Dream With the Fishes (1997),7.0
437,Drop Dead Fred (1991),2.75,Drop Dead Fred (1991),24.0
438,Drop Zone (1994),2.548387096774193,Drop Zone (1994),31.0
439,Drunks (1995),2.8,Drunks (1995),5.0
440,Duck Soup (1933),4.0,Duck Soup (1933),93.0
441,Dumb & Dumber (1994),3.0,Dumb & Dumber (1994),69.0
442,Dumbo (1941),3.4959349593495936,Dumbo (1941),123.0
443,Dunston Checks In (1996),1.8571428571428568,Dunston Checks In (1996),7.0
444,Duoluo tianshi (1995),3.1666666666666665,Duoluo tianshi (1995),6.0
445,E.T. the Extra-Terrestrial (1982),3.8333333333333335,E.T. the Extra-Terrestrial (1982),300.0
446,East of Eden (1955),3.864406779661017,East of Eden (1955),59.0
447,Eat Drink Man Woman (1994),4.05,Eat Drink Man Woman (1994),80.0
448,Ed (1996),1.3333333333333333,Ed (1996),6.0
449,Ed Wood (1994),3.601503759398496,Ed Wood (1994),133.0
450,Ed's Next Move (1996),2.6666666666666665,Ed's Next Move (1996),3.0
451,Eddie (1996),2.7,Eddie (1996),40.0
452,"Edge, The (1997)",3.5398230088495577,"Edge, The (1997)",113.0
453,"Eighth Day, The (1996)",3.0,"Eighth Day, The (1996)",1.0
454,Emma (1996),3.7175141242937855,Emma (1996),177.0
455,"Empire Strikes Back, The (1980)",4.206521739130435,"Empire Strikes Back, The (1980)",368.0
456,Enchanted April (1991),3.928571428571429,Enchanted April (1991),70.0
457,"Endless Summer 2, The (1994)",2.5,"Endless Summer 2, The (1994)",10.0
458,"Enfer, L' (1994)",3.0,"Enfer, L' (1994)",4.0
459,"English Patient, The (1996)",3.656964656964657,"English Patient, The (1996)",481.0
460,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",32.0
461,Entertaining Angels: The Dorothy Day Story (1996),5.0,Entertaining Angels: The Dorothy Day Story (1996),1.0
462,Eraser (1996),3.150485436893204,Eraser (1996),206.0
463,Escape from L.A. (1996),2.4615384615384617,Escape from L.A. (1996),91.0
464,Escape from New York (1981),3.241758241758242,Escape from New York (1981),91.0
465,Escape to Witch Mountain (1975),2.966666666666667,Escape to Witch Mountain (1975),30.0
466,Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0,Etz Hadomim Tafus (Under the Domin Tree) (1994),1.0
467,Eve's Bayou (1997),3.609375,Eve's Bayou (1997),64.0
468,Even Cowgirls Get the Blues (1993),2.0,Even Cowgirls Get the Blues (1993),5.0
469,"Evening Star, The (1996)",2.931034482758621,"Evening Star, The (1996)",29.0
470,Event Horizon (1997),2.5748031496062986,Event Horizon (1997),127.0
471,Everest (1998),4.5,Everest (1998),2.0
472,Every Other Weekend (1990),1.0,Every Other Weekend (1990),1.0
473,Everyone Says I Love You (1996),3.273809523809524,Everyone Says I Love You (1996),168.0
474,Evil Dead II (1987),3.5168539325842696,Evil Dead II (1987),89.0
475,Evita (1996),2.9806949806949805,Evita (1996),259.0
476,Excess Baggage (1997),2.5384615384615383,Excess Baggage (1997),52.0
477,Executive Decision (1996),3.3566878980891715,Executive Decision (1996),157.0
478,Exit to Eden (1994),2.75,Exit to Eden (1994),16.0
479,Exotica (1994),3.555555555555556,Exotica (1994),27.0
480,Extreme Measures (1996),3.171875,Extreme Measures (1996),64.0
481,Eye for an Eye (1996),3.03125,Eye for an Eye (1996),32.0
482,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0
483,Face/Off (1997),3.768041237113402,Face/Off (1997),194.0
484,Faces (1968),3.0,Faces (1968),4.0
485,Fair Game (1995),2.1818181818181817,Fair Game (1995),11.0
486,FairyTale: A True Story (1997),2.966666666666667,FairyTale: A True Story (1997),30.0
487,Faithful (1996),3.3,Faithful (1996),10.0
488,Fall (1997),2.0,Fall (1997),3.0
489,Fallen (1998),3.1463414634146343,Fallen (1998),41.0
490,Falling in Love Again (1980),1.0,Falling in Love Again (1980),2.0
491,"Family Thing, A (1996)",3.555555555555556,"Family Thing, A (1996)",45.0
492,"Fan, The (1996)",3.09375,"Fan, The (1996)",64.0
493,Fantasia (1940),3.770114942528736,Fantasia (1940),174.0
494,Far From Home: The Adventures of Yellow Dog (1995),3.2857142857142856,Far From Home: The Adventures of Yellow Dog (1995),7.0
495,Farewell My Concubine (1993),3.978260869565217,Farewell My Concubine (1993),46.0
496,"Farewell to Arms, A (1932)",3.8333333333333335,"Farewell to Arms, A (1932)",12.0
497,Fargo (1996),4.155511811023622,Fargo (1996),508.0
498,Farinelli: il castrato (1994),3.117647058823529,Farinelli: il castrato (1994),17.0
499,Farmer & Chase (1995),4.0,Farmer & Chase (1995),1.0
500,"Fast, Cheap & Out of Control (1997)",3.4375,"Fast, Cheap & Out of Control (1997)",32.0
501,Faster Pussycat! Kill! Kill! (1965),3.0,Faster Pussycat! Kill! Kill! (1965),7.0
502,Fatal Instinct (1993),2.631578947368421,Fatal Instinct (1993),19.0
503,Father of the Bride (1950),3.583333333333333,Father of the Bride (1950),60.0
504,Father of the Bride Part II (1995),2.8984375,Father of the Bride Part II (1995),128.0
505,Fathers' Day (1997),2.5806451612903225,Fathers' Day (1997),31.0
506,Faust (1994),4.2,Faust (1994),5.0
507,Fausto (1993),3.0,Fausto (1993),3.0
508,"Favor, The (1994)",2.0,"Favor, The (1994)",1.0
509,Fear (1996),3.1590909090909087,Fear (1996),44.0
510,Fear of a Black Hat (1993),3.2,Fear of a Black Hat (1993),10.0
511,"Fear, The (1995)",3.0,"Fear, The (1995)",1.0
512,Fearless (1993),3.24,Fearless (1993),25.0
513,Feast of July (1995),2.4,Feast of July (1995),5.0
514,Feeling Minnesota (1996),2.625,Feeling Minnesota (1996),32.0
515,Female Perversions (1996),2.625,Female Perversions (1996),8.0
516,Field of Dreams (1989),3.69811320754717,Field of Dreams (1989),212.0
517,Fierce Creatures (1997),3.114583333333333,Fierce Creatures (1997),96.0
518,"Fifth Element, The (1997)",3.4771573604060912,"Fifth Element, The (1997)",197.0
519,"Fille seule, La (A Single Girl) (1995)",4.0,"Fille seule, La (A Single Girl) (1995)",4.0
520,Fire Down Below (1997),2.9318181818181817,Fire Down Below (1997),44.0
521,Fire on the Mountain (1996),3.0,Fire on the Mountain (1996),1.0
522,Firestorm (1998),2.833333333333333,Firestorm (1998),18.0
523,"Firm, The (1993)",3.2781456953642385,"Firm, The (1993)",151.0
524,First Kid (1996),2.925,First Kid (1996),40.0
525,First Knight (1995),3.0232558139534884,First Knight (1995),86.0
526,"First Wives Club, The (1996)",3.01875,"First Wives Club, The (1996)",160.0
527,"Fish Called Wanda, A (1988)",3.785425101214575,"Fish Called Wanda, A (1988)",247.0
528,Fled (1996),2.647058823529412,Fled (1996),34.0
529,Flesh and Bone (1993),2.833333333333333,Flesh and Bone (1993),6.0
530,"Flintstones, The (1994)",2.064516129032258,"Flintstones, The (1994)",31.0
531,Flipper (1996),2.45,Flipper (1996),20.0
532,Flirt (1995),3.6,Flirt (1995),5.0
533,Flirting With Disaster (1996),3.690476190476191,Flirting With Disaster (1996),42.0
534,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.1666666666666665,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",6.0
535,Flubber (1997),2.7547169811320757,Flubber (1997),53.0
536,Fluke (1995),2.4285714285714284,Fluke (1995),14.0
537,Fly Away Home (1996),3.6,Fly Away Home (1996),180.0
538,"Fog, The (1980)",2.739130434782609,"Fog, The (1980)",23.0
539,Fools Rush In (1997),3.0,Fools Rush In (1997),24.0
540,For Ever Mozart (1996),2.0,For Ever Mozart (1996),3.0
541,For Love or Money (1993),2.833333333333333,For Love or Money (1993),12.0
542,For Richer or Poorer (1997),2.4285714285714284,For Richer or Poorer (1997),14.0
543,For Whom the Bell Tolls (1943),4.0,For Whom the Bell Tolls (1943),20.0
544,For the Moment (1994),2.6666666666666665,For the Moment (1994),3.0
545,"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,"Forbidden Christ, The (Cristo proibito, Il) (1950)",4.0
546,Forbidden Planet (1956),3.835820895522388,Forbidden Planet (1956),67.0
547,Foreign Correspondent (1940),3.8666666666666663,Foreign Correspondent (1940),15.0
548,Foreign Student (1994),2.0,Foreign Student (1994),2.0
549,Forget Paris (1995),3.193548387096774,Forget Paris (1995),62.0
550,Forrest Gump (1994),3.853582554517134,Forrest Gump (1994),321.0
551,Four Days in September (1997),3.75,Four Days in September (1997),12.0
552,Four Rooms (1995),3.033333333333333,Four Rooms (1995),90.0
553,Four Weddings and a Funeral (1994),3.661354581673306,Four Weddings and a Funeral (1994),251.0
554,"Fox and the Hound, The (1981)",3.1475409836065573,"Fox and the Hound, The (1981)",61.0
555,Foxfire (1996),2.933333333333333,Foxfire (1996),15.0
556,Frankie Starlight (1995),2.5,Frankie Starlight (1995),4.0
557,Free Willy (1993),2.4545454545454546,Free Willy (1993),33.0
558,Free Willy 2: The Adventure Home (1995),2.1818181818181817,Free Willy 2: The Adventure Home (1995),11.0
559,Free Willy 3: The Rescue (1997),1.7407407407407407,Free Willy 3: The Rescue (1997),27.0
560,Freeway (1996),3.3571428571428568,Freeway (1996),42.0
561,French Kiss (1995),3.333333333333333,French Kiss (1995),84.0
562,French Twist (Gazon maudit) (1995),3.2051282051282053,French Twist (Gazon maudit) (1995),39.0
563,Fresh (1994),4.1,Fresh (1994),10.0
564,Friday (1995),3.4615384615384617,Friday (1995),26.0
565,Fried Green Tomatoes (1991),3.7647058823529416,Fried Green Tomatoes (1991),153.0
566,"Frighteners, The (1996)",3.2347826086956517,"Frighteners, The (1996)",115.0
567,Frisk (1995),2.6666666666666665,Frisk (1995),3.0
568,From Dusk Till Dawn (1996),3.1195652173913038,From Dusk Till Dawn (1996),92.0
569,"Fugitive, The (1993)",4.044642857142857,"Fugitive, The (1993)",336.0
570,Full Metal Jacket (1987),3.6823529411764704,Full Metal Jacket (1987),170.0
571,"Full Monty, The (1997)",3.9269841269841272,"Full Monty, The (1997)",315.0
572,Full Speed (1996),3.125,Full Speed (1996),8.0
573,"Funeral, The (1996)",2.4285714285714284,"Funeral, The (1996)",21.0
574,Funny Face (1957),3.6666666666666665,Funny Face (1957),21.0
575,"Further Gesture, A (1996)",1.0,"Further Gesture, A (1996)",1.0
576,G.I. Jane (1997),3.36,G.I. Jane (1997),175.0
577,Gabbeh (1996),3.333333333333333,Gabbeh (1996),6.0
578,"Game, The (1997)",3.593625498007968,"Game, The (1997)",251.0
579,Gandhi (1982),4.0205128205128196,Gandhi (1982),195.0
580,Gang Related (1997),2.6875,Gang Related (1997),16.0
581,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",3.9166666666666665,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",24.0
582,Gaslight (1944),3.8857142857142857,Gaslight (1944),35.0
583,"Gate of Heavenly Peace, The (1995)",4.0,"Gate of Heavenly Peace, The (1995)",1.0
584,Gattaca (1997),3.5955882352941178,Gattaca (1997),136.0
585,"Gay Divorcee, The (1934)",3.8666666666666663,"Gay Divorcee, The (1934)",15.0
586,George of the Jungle (1997),2.685185185185185,George of the Jungle (1997),162.0
587,Georgia (1995),2.9,Georgia (1995),30.0
588,Germinal (1993),3.0,Germinal (1993),4.0
589,Geronimo: An American Legend (1993),3.111111111111111,Geronimo: An American Legend (1993),9.0
590,Get Shorty (1995),3.5502392344497613,Get Shorty (1995),209.0
591,Get on the Bus (1996),3.3157894736842106,Get on the Bus (1996),38.0
592,"Getaway, The (1994)",2.333333333333333,"Getaway, The (1994)",18.0
593,Getting Away With Murder (1996),1.0,Getting Away With Murder (1996),1.0
594,Getting Even with Dad (1994),1.6,Getting Even with Dad (1994),5.0
595,Ghost (1990),3.4647058823529413,Ghost (1990),170.0
596,"Ghost and Mrs. Muir, The (1947)",3.651162790697674,"Ghost and Mrs. Muir, The (1947)",43.0
597,"Ghost and the Darkness, The (1996)",3.203125,"Ghost and the Darkness, The (1996)",128.0
598,Ghost in the Shell (Kokaku kidotai) (1995),3.6538461538461537,Ghost in the Shell (Kokaku kidotai) (1995),26.0
599,Ghosts of Mississippi (1996),3.4827586206896552,Ghosts of Mississippi (1996),29.0
600,Giant (1956),3.7450980392156863,Giant (1956),51.0
601,Gigi (1958),3.6585365853658534,Gigi (1958),41.0
602,Gilligan's Island: The Movie (1998),1.3333333333333333,Gilligan's Island: The Movie (1998),3.0
603,Girl 6 (1996),2.76,Girl 6 (1996),25.0
604,Girl in the Cadillac (1995),1.0,Girl in the Cadillac (1995),1.0
605,Girls Town (1996),3.0,Girls Town (1996),1.0
606,"Glass Shield, The (1994)",2.0,"Glass Shield, The (1994)",2.0
607,Glengarry Glen Ross (1992),3.463768115942029,Glengarry Glen Ross (1992),69.0
608,"Glimmer Man, The (1996)",2.75,"Glimmer Man, The (1996)",48.0
609,Glory (1989),4.076023391812867,Glory (1989),171.0
610,Go Fish (1994),3.2,Go Fish (1994),15.0
611,"Godfather, The (1972)",4.283292978208232,"Godfather, The (1972)",413.0
612,"Godfather: Part II, The (1974)",4.186602870813397,"Godfather: Part II, The (1974)",209.0
613,Gold Diggers: The Secret of Bear Mountain (1995),3.1,Gold Diggers: The Secret of Bear Mountain (1995),10.0
614,Golden Earrings (1947),4.0,Golden Earrings (1947),2.0
615,GoldenEye (1995),3.206106870229008,GoldenEye (1995),131.0
616,Gone Fishin' (1997),1.818181818181818,Gone Fishin' (1997),11.0
617,Gone with the Wind (1939),3.8546511627906983,Gone with the Wind (1939),172.0
618,"Good Man in Africa, A (1994)",3.0,"Good Man in Africa, A (1994)",2.0
619,Good Morning (1971),1.0,Good Morning (1971),1.0
620,Good Will Hunting (1997),4.262626262626263,Good Will Hunting (1997),198.0
621,"Good, The Bad and The Ugly, The (1966)",3.8613138686131383,"Good, The Bad and The Ugly, The (1966)",137.0
622,GoodFellas (1990),3.951327433628319,GoodFellas (1990),226.0
623,"Goofy Movie, A (1995)",2.9,"Goofy Movie, A (1995)",20.0
624,Gordy (1995),1.0,Gordy (1995),3.0
625,Grace of My Heart (1996),3.25,Grace of My Heart (1996),8.0
626,"Graduate, The (1967)",4.104602510460252,"Graduate, The (1967)",239.0
627,"Grand Day Out, A (1992)",4.106060606060606,"Grand Day Out, A (1992)",66.0
628,"Grass Harp, The (1995)",3.2222222222222223,"Grass Harp, The (1995)",9.0
629,Grateful Dead (1995),3.5,Grateful Dead (1995),4.0
630,Grease (1978),3.3470588235294123,Grease (1978),170.0
631,Grease 2 (1982),2.0,Grease 2 (1982),24.0
632,"Great Day in Harlem, A (1994)",5.0,"Great Day in Harlem, A (1994)",1.0
633,"Great Dictator, The (1940)",4.021739130434782,"Great Dictator, The (1940)",46.0
634,"Great Escape, The (1963)",4.104838709677419,"Great Escape, The (1963)",124.0
635,Great Expectations (1998),3.2222222222222223,Great Expectations (1998),27.0
636,"Great Race, The (1965)",3.290322580645161,"Great Race, The (1965)",31.0
637,"Great White Hype, The (1996)",2.7551020408163267,"Great White Hype, The (1996)",49.0
638,Gridlock'd (1997),3.2105263157894735,Gridlock'd (1997),19.0
639,"Grifters, The (1990)",3.4831460674157304,"Grifters, The (1990)",89.0
640,Grosse Fatigue (1994),3.25,Grosse Fatigue (1994),4.0
641,Grosse Pointe Blank (1997),3.675,Grosse Pointe Blank (1997),160.0
642,Groundhog Day (1993),3.764285714285714,Groundhog Day (1993),280.0
643,Grumpier Old Men (1995),3.0405405405405403,Grumpier Old Men (1995),148.0
644,Guantanamera (1994),3.75,Guantanamera (1994),4.0
645,Guilty as Sin (1993),2.1666666666666665,Guilty as Sin (1993),6.0
646,Gumby: The Movie (1995),2.6,Gumby: The Movie (1995),5.0
647,Hackers (1995),2.606060606060606,Hackers (1995),33.0
648,Half Baked (1998),2.5,Half Baked (1998),20.0
649,Halloween: The Curse of Michael Myers (1995),2.2,Halloween: The Curse of Michael Myers (1995),25.0
650,Hamlet (1996),4.011111111111111,Hamlet (1996),90.0
651,Hana-bi (1997),3.0,Hana-bi (1997),1.0
652,Happy Gilmore (1996),3.389261744966443,Happy Gilmore (1996),149.0
653,Hard Eight (1996),4.0,Hard Eight (1996),15.0
654,Hard Rain (1998),2.9032258064516134,Hard Rain (1998),31.0
655,Hard Target (1993),2.7,Hard Target (1993),40.0
656,Harlem (1993),2.75,Harlem (1993),4.0
657,Harold and Maude (1971),3.8181818181818175,Harold and Maude (1971),121.0
658,Harriet the Spy (1996),2.7,Harriet the Spy (1996),40.0
659,"Hate (Haine, La) (1995)",3.5,"Hate (Haine, La) (1995)",18.0
660,"Haunted World of Edward D. Wood Jr., The (1995)",3.733333333333333,"Haunted World of Edward D. Wood Jr., The (1995)",15.0
661,He Walked by Night (1948),4.0,He Walked by Night (1948),1.0
662,Head Above Water (1996),3.0,Head Above Water (1996),4.0
663,Hear My Song (1991),3.25,Hear My Song (1991),8.0
664,Hearts and Minds (1996),3.8,Hearts and Minds (1996),5.0
665,Heat (1995),3.569506726457399,Heat (1995),223.0
666,Heathers (1989),3.690058479532164,Heathers (1989),171.0
667,Heaven & Earth (1993),2.555555555555556,Heaven & Earth (1993),9.0
668,Heaven's Prisoners (1996),2.5185185185185186,Heaven's Prisoners (1996),27.0
669,Heavenly Creatures (1994),3.6714285714285713,Heavenly Creatures (1994),70.0
670,Heavy (1995),2.4,Heavy (1995),5.0
671,Heavy Metal (1981),3.2602739726027403,Heavy Metal (1981),73.0
672,Heavyweights (1994),2.1538461538461537,Heavyweights (1994),13.0
673,Hedd Wyn (1992),1.0,Hedd Wyn (1992),1.0
674,Heidi Fleiss: Hollywood Madam (1995) ,2.6923076923076925,Heidi Fleiss: Hollywood Madam (1995) ,13.0
675,Hellraiser: Bloodline (1996),2.0,Hellraiser: Bloodline (1996),18.0
676,Henry V (1989),4.137096774193549,Henry V (1989),124.0
677,Herbie Rides Again (1974),2.272727272727273,Herbie Rides Again (1974),11.0
678,Hercules (1997),3.515151515151515,Hercules (1997),66.0
679,Here Comes Cookie (1935),2.0,Here Comes Cookie (1935),1.0
680,Hideaway (1995),2.4444444444444446,Hideaway (1995),9.0
681,High Noon (1952),4.102272727272728,High Noon (1952),88.0
682,High School High (1996),2.6206896551724137,High School High (1996),29.0
683,Higher Learning (1995),3.333333333333333,Higher Learning (1995),30.0
684,Highlander (1986),3.5359477124183005,Highlander (1986),153.0
685,Highlander III: The Sorcerer (1994),2.125,Highlander III: The Sorcerer (1994),16.0
686,His Girl Friday (1940),4.0,His Girl Friday (1940),56.0
687,Hollow Reed (1996),2.333333333333333,Hollow Reed (1996),6.0
688,Homage (1995),1.0,Homage (1995),1.0
689,Home Alone (1990),3.0875912408759123,Home Alone (1990),137.0
690,Home Alone 3 (1997),1.8947368421052633,Home Alone 3 (1997),19.0
691,Home for the Holidays (1995),3.155172413793104,Home for the Holidays (1995),58.0
692,Homeward Bound II: Lost in San Francisco (1996),2.78125,Homeward Bound II: Lost in San Francisco (1996),32.0
693,Homeward Bound: The Incredible Journey (1993),3.2131147540983607,Homeward Bound: The Incredible Journey (1993),61.0
694,Hoodlum (1997),2.9315068493150687,Hoodlum (1997),73.0
695,Hoop Dreams (1994),4.094017094017094,Hoop Dreams (1994),117.0
696,"Horse Whisperer, The (1998)",2.7142857142857144,"Horse Whisperer, The (1998)",7.0
697,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",4.111111111111111,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",9.0
698,Hostile Intentions (1994),1.0,Hostile Intentions (1994),1.0
699,Hot Shots! Part Deux (1993),2.764705882352941,Hot Shots! Part Deux (1993),68.0
700,Hotel de Love (1996),3.25,Hotel de Love (1996),4.0
701,"Hour of the Pig, The (1993)",3.571428571428572,"Hour of the Pig, The (1993)",14.0
702,House Arrest (1996),2.52,House Arrest (1996),25.0
703,House Party 3 (1994),2.0,House Party 3 (1994),9.0
704,"House of Yes, The (1997)",3.0,"House of Yes, The (1997)",18.0
705,"House of the Spirits, The (1993)",3.0416666666666665,"House of the Spirits, The (1993)",24.0
706,Houseguest (1994),2.833333333333333,Houseguest (1994),24.0
707,How to Be a Player (1997),2.761904761904762,How to Be a Player (1997),21.0
708,How to Make an American Quilt (1995),3.3380281690140845,How to Make an American Quilt (1995),71.0
709,"Howling, The (1981)",3.0263157894736836,"Howling, The (1981)",38.0
710,"Hudsucker Proxy, The (1994)",3.5545454545454547,"Hudsucker Proxy, The (1994)",110.0
711,Hugo Pool (1997),3.2857142857142856,Hugo Pool (1997),7.0
712,"Hunchback of Notre Dame, The (1996)",3.377952755905512,"Hunchback of Notre Dame, The (1996)",127.0
713,"Hungarian Fairy Tale, A (1987)",1.0,"Hungarian Fairy Tale, A (1987)",1.0
714,"Hunt for Red October, The (1990)",3.8634361233480177,"Hunt for Red October, The (1990)",227.0
715,"Hunted, The (1995)",2.0,"Hunted, The (1995)",3.0
716,Hurricane Streets (1998),2.6666666666666665,Hurricane Streets (1998),9.0
717,Hush (1998),2.0,Hush (1998),1.0
718,I Can't Sleep (J'ai pas sommeil) (1994),2.6666666666666665,I Can't Sleep (J'ai pas sommeil) (1994),3.0
719,I Don't Want to Talk About It (De eso no se habla) (1993),4.0,I Don't Want to Talk About It (De eso no se habla) (1993),1.0
720,I Know What You Did Last Summer (1997),3.06,I Know What You Did Last Summer (1997),100.0
721,I Like It Like That (1994),2.333333333333333,I Like It Like That (1994),3.0
722,I Love Trouble (1994),2.5,I Love Trouble (1994),10.0
723,I Shot Andy Warhol (1996),3.3783783783783785,I Shot Andy Warhol (1996),37.0
724,I'll Do Anything (1994),2.6,I'll Do Anything (1994),10.0
725,I'm Not Rappaport (1996),3.0,I'm Not Rappaport (1996),17.0
726,"I, Worst of All (Yo, la peor de todas) (1990)",1.0,"I, Worst of All (Yo, la peor de todas) (1990)",1.0
727,I.Q. (1994),3.320987654320988,I.Q. (1994),81.0
728,"Ice Storm, The (1997)",3.611111111111111,"Ice Storm, The (1997)",108.0
729,If Lucy Fell (1996),2.7586206896551726,If Lucy Fell (1996),29.0
730,Ill Gotten Gains (1997),2.333333333333333,Ill Gotten Gains (1997),3.0
731,Immortal Beloved (1994),3.4603174603174605,Immortal Beloved (1994),63.0
732,In & Out (1997),3.3043478260869565,In & Out (1997),230.0
733,In Love and War (1996),3.4285714285714284,In Love and War (1996),28.0
734,In the Army Now (1994),2.2777777777777777,In the Army Now (1994),18.0
735,In the Bleak Midwinter (1995),3.6875,In the Bleak Midwinter (1995),16.0
736,In the Company of Men (1997),3.712121212121212,In the Company of Men (1997),66.0
737,In the Line of Duty 2 (1987),2.75,In the Line of Duty 2 (1987),4.0
