,title,count,mean,std,min,25%,50%,75%,max
260,Candyman: Farewell to the Flesh (1995),21.0,2.4285714285714284,1.3627702877384935,1.0,1.0,2.0,3.0,5.0
261,Cape Fear (1962),86.0,3.5232558139534884,0.8908257132775124,1.0,3.0,4.0,4.0,5.0
262,Cape Fear (1991),171.0,3.456140350877193,0.9088488278863902,1.0,3.0,3.0,4.0,5.0
263,Captives (1994),3.0,2.333333333333333,1.5275252316519463,1.0,1.5,2.0,3.0,4.0
264,Career Girls (1997),39.0,3.2564102564102564,1.1634329582374263,1.0,3.0,3.0,4.0,5.0
265,Careful (1992),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
266,Carlito's Way (1993),54.0,3.4074074074074074,0.8582236705098155,1.0,3.0,3.5,4.0,5.0
267,Carmen Miranda: Bananas Is My Business (1994),2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
268,Caro Diario (Dear Diary) (1994),4.0,2.75,1.2583057392117916,1.0,2.5,3.0,3.25,4.0
269,Carpool (1996),5.0,2.8,1.3038404810405295,1.0,2.0,3.0,4.0,4.0
270,Carrie (1976),121.0,3.5041322314049586,0.9842422376473916,1.0,3.0,4.0,4.0,5.0
271,Carried Away (1996),11.0,3.0,1.5491933384829668,1.0,1.5,3.0,4.0,5.0
272,Carrington (1995),13.0,3.2307692307692313,1.0127393670836669,1.0,3.0,4.0,4.0,4.0
273,Casablanca (1942),243.0,4.4567901234567895,0.7281139915531362,1.0,4.0,5.0,5.0,5.0
274,Casino (1995),91.0,3.648351648351648,0.9817628857613041,1.0,3.0,4.0,4.0,5.0
275,Casper (1995),52.0,3.0769230769230766,1.0260557231008431,1.0,2.0,3.0,4.0,5.0
276,Castle Freak (1995),4.0,1.25,0.5,1.0,1.0,1.0,1.25,2.0
277,Cat People (1982),48.0,2.895833333333333,0.8809951658604622,1.0,2.0,3.0,3.0,5.0
278,Cat on a Hot Tin Roof (1958),62.0,3.9516129032258074,0.7338963913751042,2.0,3.25,4.0,4.0,5.0
279,Cats Don't Dance (1997),32.0,2.84375,1.370410228197523,1.0,2.0,3.0,4.0,5.0
280,Catwalk (1995),3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,2.0
281,Caught (1996),8.0,3.25,1.2817398889233114,1.0,3.0,3.0,3.5,5.0
282,Celestial Clockwork (1994),2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
283,"Celluloid Closet, The (1995)",56.0,3.8928571428571432,1.021203771466372,1.0,3.0,4.0,5.0,5.0
284,Celtic Pride (1996),15.0,2.2,1.0141851056742202,1.0,1.0,2.0,3.0,4.0
285,"Cement Garden, The (1993)",10.0,3.6,1.2649110640673515,1.0,3.0,3.5,4.75,5.0
286,Cemetery Man (Dellamorte Dellamore) (1994),23.0,2.8695652173913038,1.3916748518532025,1.0,2.0,3.0,4.0,5.0
287,Century (1993),1.0,3.0,,3.0,3.0,3.0,3.0,3.0
288,Chain Reaction (1996),80.0,2.7,1.0113282405463535,1.0,2.0,3.0,3.0,5.0
289,Chairman of the Board (1998),9.0,2.2222222222222223,1.563471919941143,1.0,1.0,1.0,3.0,5.0
290,"Chamber, The (1996)",43.0,3.0930232558139537,0.7500461410686708,2.0,3.0,3.0,4.0,4.0
291,Charade (1963),40.0,3.925,0.858964791374194,2.0,3.0,4.0,5.0,5.0
292,Chasers (1994),5.0,2.2,0.8366600265340756,1.0,2.0,2.0,3.0,3.0
293,Chasing Amy (1997),379.0,3.8390501319261214,1.0530656406472905,1.0,3.0,4.0,5.0,5.0
294,Children of the Corn: The Gathering (1996),19.0,1.3157894736842106,0.6710382982072027,1.0,1.0,1.0,1.0,3.0
295,Children of the Revolution (1996),5.0,3.2,0.8366600265340756,2.0,3.0,3.0,4.0,4.0
296,Chinatown (1974),147.0,4.1360544217687085,0.9836990280771359,1.0,4.0,4.0,5.0,5.0
297,"Christmas Carol, A (1938)",69.0,4.057971014492754,0.8555022255792296,2.0,3.0,4.0,5.0,5.0
298,Chungking Express (1994),28.0,3.571428571428572,1.259881576697424,1.0,3.0,4.0,4.25,5.0
299,"Ciao, Professore! (1993)",4.0,2.75,1.5,1.0,1.75,3.0,4.0,4.0
300,Cinderella (1950),129.0,3.581395348837209,0.8987636857320713,1.0,3.0,4.0,4.0,5.0
301,Cinema Paradiso (1988),121.0,4.1735537190082646,0.9369959618412914,1.0,4.0,4.0,5.0,5.0
302,Circle of Friends (1995),76.0,3.486842105263158,0.9590748466118324,1.0,3.0,4.0,4.0,5.0
303,Citizen Kane (1941),198.0,4.292929292929293,0.8460421471605818,2.0,4.0,5.0,5.0,5.0
304,Citizen Ruth (1996),45.0,3.6222222222222222,1.0721450226041946,1.0,3.0,4.0,4.0,5.0
305,City Hall (1996),79.0,3.1392405063291138,0.8432868723675431,1.0,3.0,3.0,4.0,5.0
306,City Slickers II: The Legend of Curly's Gold (1994),44.0,2.5454545454545454,1.044465935734187,1.0,2.0,3.0,3.0,5.0
307,City of Angels (1998),8.0,3.0,1.0690449676496976,1.0,2.75,3.0,4.0,4.0
308,City of Industry (1997),6.0,2.5,1.51657508881031,1.0,1.25,2.5,3.0,5.0
309,"City of Lost Children, The (1995)",96.0,3.7916666666666665,1.204523637369751,1.0,3.0,4.0,5.0,5.0
310,Clean Slate (1994),10.0,2.8,1.1352924243950937,1.0,2.0,2.5,4.0,4.0
311,Clean Slate (Coup de Torchon) (1981),4.0,2.75,1.5,1.0,1.75,3.0,4.0,4.0
312,Clear and Present Danger (1994),179.0,3.5698324022346366,0.8475910841381515,1.0,3.0,4.0,4.0,5.0
313,Clerks (1994),148.0,3.8040540540540535,1.116717637889081,1.0,3.0,4.0,5.0,5.0
314,"Client, The (1994)",97.0,3.3814432989690717,0.8832149956394177,1.0,3.0,3.0,4.0,5.0
315,Cliffhanger (1993),93.0,3.0215053763440864,1.0212789788731438,1.0,2.0,3.0,4.0,5.0
316,Clockers (1995),33.0,3.0,0.9013878188659972,1.0,3.0,3.0,4.0,4.0
317,"Clockwork Orange, A (1971)",221.0,3.909502262443439,1.1642204673453262,1.0,3.0,4.0,5.0,5.0
318,"Close Shave, A (1995)",112.0,4.491071428571429,0.7710474414808447,1.0,4.0,5.0,5.0,5.0
319,Clueless (1995),170.0,3.4588235294117653,0.9173274944028824,1.0,3.0,4.0,4.0,5.0
320,Cobb (1994),15.0,2.8,0.8618916073713349,1.0,2.0,3.0,3.0,4.0
321,Cold Comfort Farm (1995),125.0,3.824,1.055431420733232,1.0,3.0,4.0,5.0,5.0
322,Coldblooded (1995),1.0,2.0,,2.0,2.0,2.0,2.0,2.0
323,"Collectionneuse, La (1967)",2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0
324,"Colonel Chabert, Le (1994)",4.0,3.5,0.5773502691896257,3.0,3.0,3.5,4.0,4.0
325,Color of Night (1994),15.0,2.7333333333333334,0.961150104723255,2.0,2.0,2.0,3.0,5.0
326,Commandments (1997),3.0,2.6666666666666665,0.5773502691896258,2.0,2.5,3.0,3.0,3.0
327,Con Air (1997),137.0,3.45985401459854,1.0432880611468525,1.0,3.0,3.0,4.0,5.0
328,Conan the Barbarian (1981),107.0,3.0467289719626165,1.0405294150511413,1.0,2.0,3.0,4.0,5.0
329,Condition Red (1995),2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0
330,Coneheads (1993),41.0,2.2195121951219514,0.9877295966495896,1.0,1.0,2.0,3.0,4.0
331,Congo (1995),42.0,2.452380952380953,1.2533346924647293,1.0,1.0,2.5,3.0,5.0
332,Conspiracy Theory (1997),295.0,3.4237288135593222,1.016921287907578,1.0,3.0,4.0,4.0,5.0
333,Contact (1997),509.0,3.803536345776032,0.9944270246912171,1.0,3.0,4.0,5.0,5.0
334,"Contempt (Mépris, Le) (1963)",9.0,3.0,1.3228756555322954,1.0,3.0,3.0,4.0,5.0
335,"Convent, The (Convento, O) (1995)",2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
336,"Cook the Thief His Wife & Her Lover, The (1989)",82.0,3.024390243902439,1.323814258689104,1.0,2.0,3.0,4.0,5.0
337,Cool Hand Luke (1967),164.0,3.9939024390243913,0.7871432483931666,2.0,4.0,4.0,5.0,5.0
338,Cool Runnings (1993),68.0,3.1617647058823533,0.9401539111476276,1.0,3.0,3.0,4.0,5.0
339,Cop Land (1997),175.0,3.377142857142857,1.075079712170464,1.0,3.0,3.0,4.0,5.0
340,Cops and Robbersons (1994),13.0,2.3076923076923075,0.7510676161988107,1.0,2.0,2.0,3.0,3.0
341,Copycat (1995),86.0,3.302325581395349,0.9464455789564076,1.0,3.0,3.0,4.0,5.0
342,"Corrina, Corrina (1994)",39.0,3.1538461538461537,0.8441271274443497,1.0,3.0,3.0,4.0,5.0
343,Cosi (1996),4.0,4.0,0.8164965809277259,3.0,3.75,4.0,4.25,5.0
344,Country Life (1994),2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
345,Courage Under Fire (1996),221.0,3.6108597285067874,0.8648014397735888,1.0,3.0,4.0,4.0,5.0
346,"Cowboy Way, The (1994)",19.0,2.2105263157894743,1.0841764600337107,1.0,1.0,2.0,3.0,4.0
347,"Craft, The (1996)",104.0,3.1153846153846154,1.0821382312836356,1.0,3.0,3.0,4.0,5.0
348,Crash (1996),128.0,2.546875,1.2972373734785805,1.0,1.0,2.0,4.0,5.0
349,Crimson Tide (1995),154.0,3.6298701298701297,0.8852553909502711,1.0,3.0,4.0,4.0,5.0
350,Critical Care (1997),11.0,3.0909090909090913,1.5782614139961386,1.0,2.0,3.0,4.5,5.0
351,Cronos (1992),10.0,3.2,1.229272594305718,1.0,2.25,3.5,4.0,5.0
352,Crooklyn (1994),10.0,3.5,1.3540064007726598,1.0,3.0,3.5,4.75,5.0
353,Crossfire (1947),4.0,4.25,0.5,4.0,4.0,4.0,4.25,5.0
354,"Crossing Guard, The (1995)",28.0,3.0,1.0886621079036347,1.0,2.0,3.0,4.0,5.0
355,"Crow, The (1994)",134.0,3.417910447761194,1.112461927794511,1.0,3.0,4.0,4.0,5.0
356,"Crow: City of Angels, The (1996)",39.0,1.948717948717949,1.1227015807445038,1.0,1.0,2.0,2.5,5.0
357,Crows and Sparrows (1949),2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
358,"Crucible, The (1996)",77.0,3.3376623376623376,1.0209694774857965,1.0,3.0,3.0,4.0,5.0
359,"Crude Oasis, The (1995)",1.0,1.0,,1.0,1.0,1.0,1.0,1.0
360,Crumb (1994),81.0,3.7901234567901234,1.0573084860001365,1.0,3.0,4.0,5.0,5.0
361,"Cry, the Beloved Country (1995)",24.0,3.75,1.0320936930842801,1.0,4.0,4.0,4.0,5.0
362,"Crying Game, The (1992)",119.0,3.6218487394957983,1.0250390371950828,1.0,3.0,4.0,4.0,5.0
363,Curdled (1996),8.0,2.75,1.164964745021435,1.0,2.5,3.0,3.25,4.0
364,"Cure, The (1995)",6.0,3.333333333333333,1.3662601021279464,1.0,3.0,3.5,4.0,5.0
365,Cutthroat Island (1995),18.0,2.4444444444444446,1.2472191289246473,1.0,1.25,2.0,3.0,5.0
366,Cyclo (1995),1.0,3.0,,3.0,3.0,3.0,3.0,3.0
367,Cyrano de Bergerac (1990),66.0,3.8181818181818175,1.0062740246013573,1.0,3.0,4.0,5.0,5.0
368,"Cérémonie, La (1995)",3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
369,D3: The Mighty Ducks (1996),19.0,2.5789473684210527,1.3870748387117164,1.0,1.0,3.0,3.5,5.0
370,Dadetown (1995),1.0,3.0,,3.0,3.0,3.0,3.0,3.0
371,Daens (1992),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
372,"Damsel in Distress, A (1937)",1.0,4.0,,4.0,4.0,4.0,4.0,4.0
373,Dances with Wolves (1990),256.0,3.79296875,1.0441758993692247,1.0,3.0,4.0,5.0,5.0
374,Dangerous Beauty (1998),13.0,3.7692307692307687,1.2351684199496948,1.0,3.0,4.0,5.0,5.0
375,Dangerous Ground (1997),8.0,1.75,0.8864052604279183,1.0,1.0,1.5,2.25,3.0
376,Dangerous Minds (1995),47.0,3.3404255319148937,1.0059949810722943,1.0,3.0,3.0,4.0,5.0
377,Daniel Defoe's Robinson Crusoe (1996),2.0,3.0,1.4142135623730951,2.0,2.5,3.0,3.5,4.0
378,Dante's Peak (1997),240.0,2.933333333333333,1.1033106007509526,1.0,2.0,3.0,4.0,5.0
379,Dark City (1998),16.0,3.5,1.0327955589886444,1.0,3.0,4.0,4.0,5.0
380,Dave (1993),180.0,3.65,0.8810544723456232,1.0,3.0,4.0,4.0,5.0
381,"Davy Crockett, King of the Wild Frontier (1955)",11.0,2.9090909090909087,1.300349603340998,1.0,2.0,3.0,4.0,5.0
382,"Day the Earth Stood Still, The (1951)",97.0,3.938144329896907,0.8875813693883072,1.0,4.0,4.0,5.0,5.0
383,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0
384,Daylight (1996),57.0,2.771929824561404,1.035400955110923,1.0,2.0,3.0,3.0,5.0
385,Days of Thunder (1990),53.0,2.7169811320754715,1.0261458602753473,1.0,2.0,3.0,3.0,5.0
386,"Daytrippers, The (1996)",15.0,3.6666666666666665,0.8997354108424372,2.0,3.0,4.0,4.0,5.0
387,Dazed and Confused (1993),64.0,3.46875,1.0978875820670997,1.0,3.0,4.0,4.0,5.0
388,Dead Man (1995),34.0,3.8235294117647056,1.140722478009444,1.0,3.0,4.0,5.0,5.0
389,Dead Man Walking (1995),299.0,3.8963210702341136,1.0423675187854742,1.0,3.0,4.0,5.0,5.0
390,Dead Poets Society (1989),251.0,3.9163346613545817,0.8972023804882502,1.0,3.0,4.0,5.0,5.0
391,Dead Presidents (1995),18.0,2.7222222222222223,1.0178151661369077,1.0,2.0,3.0,3.0,4.0
392,Dear God (1996),12.0,2.5,0.7977240352174656,1.0,2.0,3.0,3.0,3.0
393,Death and the Maiden (1994),28.0,3.4285714285714284,0.9594972228385659,1.0,3.0,3.5,4.0,5.0
394,Death in Brunswick (1991),1.0,4.0,,4.0,4.0,4.0,4.0,4.0
395,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,1.0,,1.0,1.0,1.0,1.0,1.0
396,Deceiver (1997),29.0,2.827586206896552,1.3381481211318391,1.0,2.0,3.0,4.0,5.0
397,Deconstructing Harry (1997),65.0,3.4,1.1832159566199232,1.0,3.0,4.0,4.0,5.0
398,Deep Rising (1998),14.0,2.4285714285714284,1.3985864135061357,1.0,1.0,2.0,3.75,5.0
399,"Deer Hunter, The (1978)",120.0,3.8333333333333335,1.0398232989297744,1.0,3.0,4.0,5.0,5.0
400,Delicatessen (1991),65.0,3.8769230769230765,1.0079014756489764,1.0,3.0,4.0,5.0,5.0
401,Delta of Venus (1994),2.0,3.0,2.8284271247461903,1.0,2.0,3.0,4.0,5.0
402,Demolition Man (1993),92.0,3.152173913043478,1.0476009496185383,1.0,2.0,3.0,4.0,5.0
403,Denise Calls Up (1995),7.0,3.0,1.4142135623730951,1.0,2.0,4.0,4.0,4.0
404,Desert Winds (1995),1.0,4.0,,4.0,4.0,4.0,4.0,4.0
405,"Designated Mourner, The (1997)",7.0,1.8571428571428568,0.8997354108424372,1.0,1.0,2.0,2.5,3.0
406,Desperado (1995),97.0,3.453608247422681,1.060862645805104,1.0,3.0,4.0,4.0,5.0
407,Desperate Measures (1998),72.0,3.3194444444444446,0.9761434449091608,1.0,3.0,3.0,4.0,5.0
408,Destiny Turns on the Radio (1995),2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
409,Devil in a Blue Dress (1995),57.0,3.3859649122807016,0.9402580566166834,1.0,3.0,4.0,4.0,5.0
410,"Devil's Advocate, The (1997)",188.0,3.515957446808511,0.9782449844064836,1.0,3.0,4.0,4.0,5.0
411,"Devil's Own, The (1997)",240.0,3.1083333333333334,0.9835112006120852,1.0,3.0,3.0,4.0,5.0
412,Diabolique (1996),71.0,2.8873239436619715,1.0078165333977902,1.0,2.0,3.0,4.0,5.0
413,Dial M for Murder (1954),68.0,4.0,0.7531030335249471,2.0,3.75,4.0,5.0,5.0
414,Die Hard (1988),243.0,3.872427983539095,0.9426647377560716,1.0,3.0,4.0,5.0,5.0
415,Die Hard 2 (1990),166.0,3.3554216867469884,1.0031167202454194,1.0,3.0,3.0,4.0,5.0
416,Die Hard: With a Vengeance (1995),151.0,3.2847682119205297,1.0157262324314789,1.0,3.0,3.0,4.0,5.0
417,"Die xue shuang xiong (Killer, The) (1989)",31.0,3.967741935483871,1.048296108541282,1.0,4.0,4.0,5.0,5.0
418,Dingo (1992),5.0,2.4,1.3416407864998738,1.0,1.0,3.0,3.0,4.0
419,Dirty Dancing (1987),98.0,3.1020408163265305,1.1441450769372472,1.0,2.0,3.0,4.0,5.0
420,Disclosure (1994),40.0,3.0,0.8770580193070292,1.0,3.0,3.0,3.25,5.0
421,Diva (1981),66.0,3.727272727272727,1.0309883912717264,1.0,3.0,4.0,4.0,5.0
422,Dolores Claiborne (1994),79.0,3.3417721518987342,1.011296146604751,1.0,3.0,3.0,4.0,5.0
423,Don Juan DeMarco (1995),76.0,3.5526315789473686,0.9851529403039274,1.0,3.0,4.0,4.0,5.0
424,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),35.0,2.771428571428572,1.285340748726241,1.0,1.5,3.0,4.0,5.0
425,Donnie Brasco (1997),147.0,3.8027210884353733,0.8162682860593109,1.0,3.0,4.0,4.0,5.0
426,"Doom Generation, The (1995)",7.0,2.7142857142857144,1.3801311186847085,1.0,2.0,2.0,3.5,5.0
427,"Doors, The (1991)",46.0,2.9782608695652173,1.0850321128843785,1.0,2.0,3.0,4.0,5.0
428,Double Happiness (1994),7.0,3.4285714285714284,1.2724180205607034,1.0,3.0,4.0,4.0,5.0
429,Double Team (1997),13.0,2.230769230769231,1.0127393670836666,1.0,2.0,2.0,3.0,4.0
430,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",22.0,3.6818181818181817,1.2867960816866657,1.0,3.0,4.0,5.0,5.0
431,Down Periscope (1996),101.0,2.702970297029703,1.0634336317367956,1.0,2.0,3.0,4.0,5.0
432,Down by Law (1986),35.0,3.7714285714285714,1.1398068537544184,1.0,3.0,4.0,5.0,5.0
433,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),194.0,4.252577319587629,0.8535925644072994,2.0,4.0,4.0,5.0,5.0
434,Dracula: Dead and Loving It (1995),25.0,2.28,1.1733143937865362,1.0,1.0,2.0,3.0,5.0
435,Dragonheart (1996),158.0,3.0822784810126582,1.0998852857000996,1.0,2.0,3.0,4.0,5.0
436,Dream Man (1995),2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
437,Dream With the Fishes (1997),7.0,3.1428571428571432,1.2149857925879115,2.0,2.0,3.0,4.0,5.0
438,Drop Dead Fred (1991),24.0,2.75,1.1887150534341144,1.0,2.0,2.0,4.0,5.0
439,Drop Zone (1994),31.0,2.548387096774193,0.925156191404794,1.0,2.0,3.0,3.0,4.0
440,Drunks (1995),5.0,2.8,1.3038404810405295,2.0,2.0,2.0,3.0,5.0
441,Duck Soup (1933),93.0,4.0,0.9890707100936804,1.0,3.0,4.0,5.0,5.0
442,Dumb & Dumber (1994),69.0,3.0,1.224744871391589,1.0,2.0,3.0,4.0,5.0
443,Dumbo (1941),123.0,3.4959349593495936,1.0030607563756753,1.0,3.0,3.0,4.0,5.0
444,Dunston Checks In (1996),7.0,1.8571428571428568,1.5735915849388862,1.0,1.0,1.0,2.0,5.0
445,Duoluo tianshi (1995),6.0,3.1666666666666665,1.834847859269718,1.0,1.5,3.5,4.75,5.0
446,E.T. the Extra-Terrestrial (1982),300.0,3.8333333333333335,1.0436408271731692,1.0,3.0,4.0,5.0,5.0
447,East of Eden (1955),59.0,3.864406779661017,0.8191169997403233,2.0,3.0,4.0,4.0,5.0
448,Eat Drink Man Woman (1994),80.0,4.05,0.8844650818504132,1.0,3.0,4.0,5.0,5.0
449,Ed (1996),6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0
450,Ed Wood (1994),133.0,3.601503759398496,1.0726620074295214,1.0,3.0,4.0,4.0,5.0
451,Ed's Next Move (1996),3.0,2.6666666666666665,1.5275252316519468,1.0,2.0,3.0,3.5,4.0
452,Eddie (1996),40.0,2.7,0.9391758525703706,1.0,2.0,3.0,3.0,4.0
453,"Edge, The (1997)",113.0,3.5398230088495577,0.9357521633699709,1.0,3.0,4.0,4.0,5.0
454,"Eighth Day, The (1996)",1.0,3.0,,3.0,3.0,3.0,3.0,3.0
455,Emma (1996),177.0,3.7175141242937855,0.9824473910697851,1.0,3.0,4.0,4.0,5.0
456,"Empire Strikes Back, The (1980)",368.0,4.206521739130435,0.9224779267883224,1.0,4.0,4.0,5.0,5.0
457,Enchanted April (1991),70.0,3.928571428571429,1.0400867936390104,1.0,3.0,4.0,5.0,5.0
458,"Endless Summer 2, The (1994)",10.0,2.5,1.2692955176439846,1.0,1.25,3.0,3.0,5.0
459,"Enfer, L' (1994)",4.0,3.0,1.4142135623730951,1.0,2.5,3.5,4.0,4.0
460,"English Patient, The (1996)",481.0,3.656964656964657,1.1694008155881648,1.0,3.0,4.0,5.0,5.0
461,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",32.0,3.375,1.157026221578126,1.0,3.0,3.0,4.0,5.0
462,Entertaining Angels: The Dorothy Day Story (1996),1.0,5.0,,5.0,5.0,5.0,5.0,5.0
463,Eraser (1996),206.0,3.150485436893204,0.9786375583016368,1.0,3.0,3.0,4.0,5.0
464,Escape from L.A. (1996),91.0,2.4615384615384617,1.088400378819938,1.0,2.0,2.0,3.0,5.0
465,Escape from New York (1981),91.0,3.241758241758242,0.8986491014685359,1.0,3.0,3.0,4.0,5.0
466,Escape to Witch Mountain (1975),30.0,2.966666666666667,0.8899179866642242,1.0,2.0,3.0,3.75,5.0
467,Etz Hadomim Tafus (Under the Domin Tree) (1994),1.0,2.0,,2.0,2.0,2.0,2.0,2.0
468,Eve's Bayou (1997),64.0,3.609375,1.1901338793571297,1.0,3.0,4.0,5.0,5.0
469,Even Cowgirls Get the Blues (1993),5.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0
470,"Evening Star, The (1996)",29.0,2.931034482758621,1.131719124756625,1.0,2.0,3.0,4.0,5.0
471,Event Horizon (1997),127.0,2.5748031496062986,1.211844226456664,1.0,2.0,3.0,4.0,5.0
472,Everest (1998),2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
473,Every Other Weekend (1990),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
474,Everyone Says I Love You (1996),168.0,3.273809523809524,1.119786019723694,1.0,3.0,3.0,4.0,5.0
475,Evil Dead II (1987),89.0,3.5168539325842696,1.1785233398252095,1.0,3.0,4.0,4.0,5.0
476,Evita (1996),259.0,2.9806949806949805,1.2340509250725358,1.0,2.0,3.0,4.0,5.0
477,Excess Baggage (1997),52.0,2.5384615384615383,1.128273685014246,1.0,2.0,2.0,3.0,5.0
478,Executive Decision (1996),157.0,3.3566878980891715,0.9129603780931506,1.0,3.0,3.0,4.0,5.0
479,Exit to Eden (1994),16.0,2.75,0.9309493362512627,1.0,2.0,3.0,3.0,4.0
480,Exotica (1994),27.0,3.555555555555556,0.9336995618478524,1.0,3.0,4.0,4.0,5.0
481,Extreme Measures (1996),64.0,3.171875,0.8461807285662002,1.0,3.0,3.0,4.0,5.0
482,Eye for an Eye (1996),32.0,3.03125,1.0620848334989004,1.0,2.0,3.0,4.0,5.0
483,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1.0,,1.0,1.0,1.0,1.0,1.0
484,Face/Off (1997),194.0,3.768041237113402,0.9618684743878756,1.0,3.0,4.0,4.0,5.0
485,Faces (1968),4.0,3.0,0.8164965809277259,2.0,2.75,3.0,3.25,4.0
486,Fair Game (1995),11.0,2.1818181818181817,0.9816498172140428,1.0,1.5,2.0,3.0,4.0
487,FairyTale: A True Story (1997),30.0,2.966666666666667,1.2726115785600325,1.0,2.0,3.0,4.0,5.0
488,Faithful (1996),10.0,3.3,1.3374935098492586,1.0,2.25,3.5,4.0,5.0
489,Fall (1997),3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0
490,Fallen (1998),41.0,3.1463414634146343,1.2157502952859214,1.0,2.0,3.0,4.0,5.0
491,Falling in Love Again (1980),2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
492,"Family Thing, A (1996)",45.0,3.555555555555556,0.8133979109981547,1.0,3.0,4.0,4.0,5.0
493,"Fan, The (1996)",64.0,3.09375,0.9875213479709756,1.0,2.0,3.0,4.0,5.0
494,Fantasia (1940),174.0,3.770114942528736,1.1090916913291855,1.0,3.0,4.0,5.0,5.0
495,Far From Home: The Adventures of Yellow Dog (1995),7.0,3.2857142857142856,1.1126972805283737,1.0,3.0,4.0,4.0,4.0
496,Farewell My Concubine (1993),46.0,3.978260869565217,1.021744269696192,1.0,3.0,4.0,5.0,5.0
497,"Farewell to Arms, A (1932)",12.0,3.8333333333333335,0.38924947208076144,3.0,4.0,4.0,4.0,4.0
498,Fargo (1996),508.0,4.155511811023622,0.975755982575977,1.0,4.0,4.0,5.0,5.0
499,Farinelli: il castrato (1994),17.0,3.117647058823529,1.317305628032864,1.0,2.0,3.0,4.0,5.0
500,Farmer & Chase (1995),1.0,4.0,,4.0,4.0,4.0,4.0,4.0
501,"Fast, Cheap & Out of Control (1997)",32.0,3.4375,1.3663584756098843,1.0,2.75,4.0,5.0,5.0
502,Faster Pussycat! Kill! Kill! (1965),7.0,3.0,1.4142135623730951,1.0,2.0,3.0,4.0,5.0
503,Fatal Instinct (1993),19.0,2.631578947368421,1.065130472748108,1.0,2.0,3.0,3.0,4.0
504,Father of the Bride (1950),60.0,3.583333333333333,0.7874366623260194,2.0,3.0,4.0,4.0,5.0
505,Father of the Bride Part II (1995),128.0,2.8984375,1.025960995636252,1.0,2.0,3.0,4.0,5.0
506,Fathers' Day (1997),31.0,2.5806451612903225,0.9228287507581276,1.0,2.0,3.0,3.0,4.0
507,Faust (1994),5.0,4.2,1.3038404810405295,2.0,4.0,5.0,5.0,5.0
508,Fausto (1993),3.0,3.0,1.0,2.0,2.5,3.0,3.5,4.0
509,"Favor, The (1994)",1.0,2.0,,2.0,2.0,2.0,2.0,2.0
510,Fear (1996),44.0,3.1590909090909087,1.0771016625849856,1.0,2.0,3.0,4.0,5.0
511,Fear of a Black Hat (1993),10.0,3.2,1.3984117975602022,1.0,3.0,3.0,4.0,5.0
512,"Fear, The (1995)",1.0,3.0,,3.0,3.0,3.0,3.0,3.0
513,Fearless (1993),25.0,3.24,0.9255628917943216,2.0,3.0,3.0,4.0,5.0
514,Feast of July (1995),5.0,2.4,1.3416407864998738,1.0,1.0,3.0,3.0,4.0
515,Feeling Minnesota (1996),32.0,2.625,1.128801819801464,1.0,2.0,3.0,3.0,5.0
516,Female Perversions (1996),8.0,2.625,0.5175491695067657,2.0,2.0,3.0,3.0,3.0
517,Field of Dreams (1989),212.0,3.69811320754717,1.0273032042095631,1.0,3.0,4.0,4.25,5.0
518,Fierce Creatures (1997),96.0,3.114583333333333,0.9388659639403352,1.0,3.0,3.0,4.0,5.0
519,"Fifth Element, The (1997)",197.0,3.4771573604060912,1.1092082304872926,1.0,3.0,4.0,4.0,5.0
520,"Fille seule, La (A Single Girl) (1995)",4.0,4.0,0.8164965809277259,3.0,3.75,4.0,4.25,5.0
521,Fire Down Below (1997),44.0,2.9318181818181817,1.3011216497963252,1.0,2.0,3.0,4.0,5.0
